Experience,Test Score
18.44,545.23
17.74,717.79
3.99,890.81
0.69,698.35
19.74,754.54
3.67,922.88
2.44,977.47
10.45,835.57
14.16,446.19
0.11,707.26
19.4,496.73
10.4,701.61
6.5,795.99
11.85,404.17
11.23,779.86
3.12,549.58
2.82,592.47
10.85,901.18
16.17,593.92
6.08,882.2
3.7,567.19
19.31,965.75
17.32,853.33
9.88,609.53
10.28,916.44
5.82,723.61
12.47,468.08
15.7,656.26
16.57,780.12
4.25,884.87
9.12,536.76
11.97,705.14
10.5,511.94
13.68,618.18
12.02,537.28
7.17,962.04
1.16,646.23
5.62,454.17
6.09,711.27
9.44,545.11
1.77,803.28
2.16,867.93
11.96,991.39
18.19,580.53
19.39,944.96
16.04,511.91
6.23,765.74
1.49,424.47
5.43,779.38
8.55,938.27
2.32,482.51
9.9,551.07
0.9,542.58
10.93,430.89
0.51,932.25
3.92,856.97
14.58,504.62
1.3,471.92
15.42,603.42
6.51,836.93
7.14,721.46
6.22,554.76
1.95,821.81
0.93,706.45
19.01,781.85
18.79,486.94
2.79,937.65
14.64,588.61
7.33,466.03
12.75,733.12
14.26,938.33
14.14,787.1
14.59,890.33
6.62,954.82
12.24,884.46
7.77,620.67
3.97,409.95
3.64,780.04
15.22,940.25
15.5,543.74
